number_of_line_of_code,average_number_of_lines_of_code,average_cyclomatic_complexity_number,average_token_count,function_count,warning_count,function_rate,number_of_line_of_code_rate
485,79.8,21,829.7,6,2,0.33,0.55
1689,47.5,13,345,34,9,0.26,0.67
2022,30.7,7.1,268.2,52,7,0.13,0.42
932,36.4,7.5,268.8,24,2,0.08,0.3
932,36.4,7.5,268.8,24,2,0.08,0.3
257,27,3.4,256.4,9,0,0,0
1252,33.1,6.8,399.4,36,4,0.11,0.33
1252,33.1,6.8,399.4,36,4,0.11,0.33
416,6.9,1.9,56,58,1,0.02,0.37
2324,23.6,6.4,154.1,88,6,0.07,0.3
73,5.9,1.8,45.1,9,0,0,0
2068,16,2.4,146,118,0,0,0
